Age,Income,Year,Heart_disease,Coronary_heart_disease,Heart_attack,Stroke,Cancer,Arthritis,Diabetes
18+ years (age-adjusted),All,1999-2001,11.8,6.4,3.5,2.5,7,~,6.4
18+ years (age-adjusted),All,2002-2004,11.6,6.4,3.3,2.6,7,~,7
18+ years (age-adjusted),All,2005-2007,11.2,6.1,3.2,2.4,7.3,20.3,7.5
18+ years (age-adjusted),All,2008-2010,11.5,6.4,3.1,2.6,8.2,21.6,8.7
18+ years (age-adjusted),All,2011-2013,10.9,6.2,3,2.6,7.9,21.3,8.5
18+ years (age-adjusted),Poor,1999-2001,15.5,9.1,5.1,3.7,6.7,~,9.3
18+ years (age-adjusted),Poor,2002-2004,15.2,9.3,4.8,4.8,6.2,~,10.7
18+ years (age-adjusted),Poor,2005-2007,14.2,8.2,4.4,4.1,6.6,24.1,11.1
18+ years (age-adjusted),Poor,2008-2010,14.7,9.1,4.7,4.7,6.4,25.1,12.1
18+ years (age-adjusted),Poor,2011-2013,13.7,9.1,4.8,4.7,6.6,24.8,12.9
18+ years (age-adjusted),Near poor,1999-2001,13.1,7.7,4.4,3.3,6.5,~,8.8
18+ years (age-adjusted),Near poor,2002-2004,13.2,7.6,4.2,3.5,7.1,~,9.1
18+ years (age-adjusted),Near poor,2005-2007,12.5,7.2,4.1,3.7,6.7,22.6,10.1
18+ years (age-adjusted),Near poor,2008-2010,13.1,8.1,4.2,4,7.7,23.5,11
18+ years (age-adjusted),Near poor,2011-2013,12.1,7.4,4,3.5,6.9,22.7,10.7
18+ years (age-adjusted),Nonpoor,1999-2001,11.1,5.9,3.1,2.1,7.2,~,5.6
18+ years (age-adjusted),Nonpoor,2002-2004,10.8,5.9,3,2.2,7.2,~,6
18+ years (age-adjusted),Nonpoor,2005-2007,10.6,5.6,2.9,1.9,7.6,19.3,6.5
18+ years (age-adjusted),Nonpoor,2008-2010,10.7,5.6,2.6,2,8.6,20.6,7.7
18+ years (age-adjusted),Nonpoor,2011-2013,10.1,5.4,2.5,2,8.4,20.3,7.3
18+ years (crude),All,1999-2001,11.5,6.3,3.4,2.4,6.9,~,6.4
18+ years (crude),All,2002-2004,11.5,6.3,3.3,2.6,7,~,7
18+ years (crude),All,2005-2007,11.3,6.1,3.2,2.4,7.3,20.8,7.7
18+ years (crude),All,2008-2010,11.8,6.7,3.2,2.7,8.5,22.7,9.1
18+ years (crude),All,2011-2013,11.4,6.5,3.2,2.7,8.4,22.7,9.1
18+ years (crude),Poor,1999-2001,13.8,7.8,4.3,3.2,5.9,~,8
18+ years (crude),Poor,2002-2004,13.6,8.1,4.1,4.2,5.6,~,9.4
18+ years (crude),Poor,2005-2007,12.3,6.8,3.7,3.4,5.7,20.7,9.4
18+ years (crude),Poor,2008-2010,12.8,7.7,3.9,3.9,5.4,21.5,10.1
18+ years (crude),Poor,2011-2013,11.9,7.6,4,4,5.6,21.8,11.1
18+ years (crude),Near poor,1999-2001,14.5,8.7,5,4,7.3,~,8.9
18+ years (crude),Near poor,2002-2004,14.3,8.3,4.5,3.8,8,~,9
18+ years (crude),Near poor,2005-2007,13.3,7.8,4.5,4,7.3,23.5,10.3
18+ years (crude),Near poor,2008-2010,14,8.9,4.6,4.3,8.4,24.7,11.4
18+ years (crude),Near poor,2011-2013,13.2,8.2,4.4,3.9,7.7,24,11.2
18+ years (crude),Nonpoor,1999-2001,10.4,5.4,2.9,1.8,6.9,~,5.5
18+ years (crude),Nonpoor,2002-2004,10.4,5.5,2.9,2,7,~,6.1
18+ years (crude),Nonpoor,2005-2007,10.6,5.6,2.9,1.9,7.6,20.2,6.8
18+ years (crude),Nonpoor,2008-2010,11,5.8,2.7,2,9.1,22.3,8.3
18+ years (crude),Nonpoor,2011-2013,10.8,5.8,2.7,2.1,9.2,22.5,8.1
18-44 years,All,1999-2001,4.6,1,0.4,0.4,2.2,~,2
18-44 years,All,2002-2004,4.5,1.1,0.4,0.5,1.9,~,2
18-44 years,All,2005-2007,4.1,0.9,0.4,0.3,1.9,7.1,2.2
18-44 years,All,2008-2010,4.4,1.4,0.5,0.6,2.2,7.1,2.7
18-44 years,All,2011-2013,3.7,0.9,0.4,0.5,1.9,7.4,2.5
18-44 years,Poor,1999-2001,6.3,2,0.9,0.9,2.3,~,2.3
18-44 years,Poor,2002-2004,5.2,1.6,0.5,0.7,2.1,~,3.2
18-44 years,Poor,2005-2007,4.8,1.5,*,0.6,2.2,7.6,2.9
18-44 years,Poor,2008-2010,5.7,2.5,1.1,1.2,1.8,8.2,3
